Analysis,Group,Type,Distance,Time,Subject
Cue,Cosine,Real,0.095525648,100,12
Cue,Cosine,Real,0.027603901,100,13
Cue,Cosine,Real,0.006390026,150,1
Cue,Cosine,Real,0.018358234,150,2
Cue,Cosine,Real,0.009673383,150,3
Cue,Cosine,Real,0.049174712,150,4
Cue,Cosine,Real,0.118423856,150,5
Cue,Cosine,Real,0.107408654,150,6
Cue,Cosine,Real,0.00475507,150,7
Cue,Cosine,Real,0.011811983,150,8
Cue,Cosine,Real,0.186626001,150,9
Cue,Cosine,Real,0.008760674,150,10
Cue,Cosine,Real,0.020725569,150,11
Cue,Cosine,Real,0.01072933,150,12
Cue,Cosine,Real,0.006806903,150,13
Cue,Cosine,Real,0.040290297,200,1
Cue,Cosine,Real,0.097804967,200,2
Cue,Cosine,Real,0.018049841,200,3
Cue,Cosine,Real,0.083631087,200,4
Cue,Cosine,Real,0.410519421,200,5
Cue,Cosine,Real,0.017324242,200,6
Cue,Cosine,Real,0.02037723,200,7
Cue,Cosine,Real,0.02939652,200,8
Cue,Cosine,Real,0.099487316,200,9
Cue,Cosine,Real,0.166724864,200,10
Cue,Cosine,Real,0.010007932,200,11
Cue,Cosine,Real,0.000189225,200,12
Cue,Cosine,Real,0.01890063,200,13
Cue,Cosine,Real,0.029185792,250,1
Cue,Cosine,Real,0.340347622,250,2
Cue,Cosine,Real,0.001685401,250,3
Cue,Cosine,Real,0.099990078,250,4
Cue,Cosine,Real,0.386586575,250,5
Cue,Cosine,Real,0.06687577,250,6
Cue,Cosine,Real,0.097181153,250,7
Cue,Cosine,Real,0.030852636,250,8
Cue,Cosine,Real,0.247445984,250,9
Cue,Cosine,Real,0.001262702,250,10
Cue,Cosine,Real,0.000215638,250,11
Cue,Cosine,Real,0.006179178,250,12
Cue,Cosine,Real,0.047883596,250,13
Cue,Cosine,Real,3.47E-05,300,1
Cue,Cosine,Real,0.499492381,300,2
Cue,Cosine,Real,0.000189194,300,3
Cue,Cosine,Real,0.013295214,300,4
Cue,Cosine,Real,0.23895391,300,5
Cue,Cosine,Real,0.008062642,300,6
Cue,Cosine,Real,0.029053546,300,7
Cue,Cosine,Real,0.130069487,300,8
Cue,Cosine,Real,0.173022064,300,9
Cue,Cosine,Real,0.006445694,300,10
Cue,Cosine,Real,0.038333547,300,11
Cue,Cosine,Real,0.000810758,300,12
Cue,Cosine,Real,0.341132417,300,13
Cue,Cosine,Sim,0.013102901,0,1
Cue,Cosine,Sim,0.014447243,0,2
Cue,Cosine,Sim,0.025178586,0,3
Cue,Cosine,Sim,0.012800266,0,4
Cue,Cosine,Sim,0.01621538,0,5
Cue,Cosine,Sim,0.006178234,0,6
Cue,Cosine,Sim,0.017361967,0,7
Cue,Cosine,Sim,0.01159017,0,8
Cue,Cosine,Sim,0.01350876,0,9
Cue,Cosine,Sim,0.017644569,0,10
Cue,Cosine,Sim,0.015692115,0,11
Cue,Cosine,Sim,0.054052641,0,12
Cue,Cosine,Sim,0.012411502,0,13
Cue,Cosine,Sim,0.022437986,50,1
Cue,Cosine,Sim,0.003329659,50,2
Cue,Cosine,Sim,0.015232766,50,3
Cue,Cosine,Sim,0.015177555,50,4
Cue,Cosine,Sim,0.024508963,50,5
Cue,Cosine,Sim,0.007223454,50,6
Cue,Cosine,Sim,0.013807734,50,7
Cue,Cosine,Sim,0.011916907,50,8
Cue,Cosine,Sim,0.006212467,50,9
Cue,Cosine,Sim,0.006776621,50,10
Cue,Cosine,Sim,0.013143888,50,11
Cue,Cosine,Sim,0.021126935,50,12
Cue,Cosine,Sim,0.011778231,50,13
Cue,Cosine,Sim,0.026092134,100,1
Cue,Cosine,Sim,0.017003716,100,2
Cue,Cosine,Sim,0.005134943,100,3
Cue,Cosine,Sim,0.013194608,100,4
Cue,Cosine,Sim,0.01093488,100,5
Cue,Cosine,Sim,0.005792005,100,6
Cue,Cosine,Sim,0.016310616,100,7
Cue,Cosine,Sim,0.007301803,100,8
Cue,Cosine,Sim,0.015575097,100,9
Cue,Cosine,Sim,0.0257366,100,10
Cue,Cosine,Sim,0.026288832,100,11
Cue,Cosine,Sim,0.062046583,100,12
Cue,Cosine,Sim,0.018402494,100,13
Cue,Cosine,Sim,0.017912909,150,1
Cue,Cosine,Sim,0.046211834,150,2
Cue,Cosine,Sim,0.005097907,150,3
Cue,Cosine,Sim,0.020353495,150,4
Cue,Cosine,Sim,0.016753482,150,5
Cue,Cosine,Sim,0.01532631,150,6
Cue,Cosine,Sim,0.014303485,150,7
Cue,Cosine,Sim,0.012422528,150,8
Cue,Cosine,Sim,0.032835628,150,9
Cue,Cosine,Sim,0.024333536,150,10
Cue,Cosine,Sim,0.020722143,150,11
Cue,Cosine,Sim,0.034773329,150,12
Cue,Cosine,Sim,0.008707985,150,13
Cue,Cosine,Sim,0.011699501,200,1
Cue,Cosine,Sim,0.039717715,200,2
Cue,Cosine,Sim,0.004958415,200,3
Cue,Cosine,Sim,0.013398283,200,4
Cue,Cosine,Sim,0.016480233,200,5
Cue,Cosine,Sim,0.009782451,200,6
Cue,Cosine,Sim,0.016257372,200,7
Cue,Cosine,Sim,0.009728599,200,8
Cue,Cosine,Sim,0.050896451,200,9
Cue,Cosine,Sim,0.037963661,200,10
Cue,Cosine,Sim,0.024899519,200,11
Cue,Cosine,Sim,0.015806033,200,12
Cue,Cosine,Sim,0.020486715,200,13
Cue,Cosine,Sim,0.026800308,250,1
Cue,Cosine,Sim,0.016703202,250,2
Cue,Cosine,Sim,0.011827144,250,3
Cue,Cosine,Sim,0.018644689,250,4
Cue,Cosine,Sim,0.015534657,250,5
Cue,Cosine,Sim,0.008928046,250,6
